kind,amount,dt,msg,fee,category
Salg,800,01.03.2019 09:35,,60,Buffet
Salg,800,01.03.2019 12:44,,60,Buffet
Salg,1300,01.03.2019 16:58,,60,Buffet
Salg,1300,01.03.2019 17:07,,60,Buffet
Salg,500,01.03.2019 18:24,,60,Buffet
Gebyr,-300,02.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,4400,02.03.2019 00:59,Udbetaling til konto,300,Overførsel
Salg,1300,04.03.2019 11:14,,60,Buffet
Salg,1500,04.03.2019 12:40,Rissifrutti,60,Buffet
Salg,3200,04.03.2019 12:56,,60,Buffet
Salg,800,04.03.2019 13:00,,60,Buffet
Salg,1600,04.03.2019 13:03,,60,Buffet
Salg,800,04.03.2019 13:03,,60,Buffet
Salg,650,04.03.2019 13:12,,60,Buffet
Salg,650,04.03.2019 13:31,,60,Buffet
Salg,800,04.03.2019 13:49,,60,Buffet
Salg,2400,04.03.2019 14:10,,60,Buffet
Salg,1300,04.03.2019 15:13,,60,Buffet
Salg,1300,04.03.2019 15:55,,60,Buffet
Salg,1800,04.03.2019 18:46,Frokost special,60,Buffet
Salg,1600,04.03.2019 19:10,,60,Buffet
Salg,1200,04.03.2019 22:02,,60,Buffet
Salg,500,04.03.2019 22:03,,60,Buffet
Salg,800,04.03.2019 22:13,,60,Buffet
Salg,2400,04.03.2019 23:25,,60,Buffet
Gebyr,-1080,05.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,23520,05.03.2019 00:59,Udbetaling til konto,1080,Overførsel
Salg,1300,05.03.2019 11:20,,60,Buffet
Salg,400,05.03.2019 11:56,,60,Buffet
Salg,800,05.03.2019 12:18,,60,Buffet
Salg,2000,05.03.2019 12:53,,60,Buffet
Salg,2500,05.03.2019 13:11,,60,Buffet
Salg,3200,05.03.2019 13:23,,60,Buffet
Salg,1200,05.03.2019 14:08,,60,Buffet
Salg,1000,05.03.2019 14:11,2x toast,60,Buffet
Salg,1000,05.03.2019 14:12,,60,Buffet
Salg,800,05.03.2019 16:14,,60,Buffet
Salg,1200,05.03.2019 16:15,,60,Buffet
Salg,2000,05.03.2019 16:19,,60,Buffet
Salg,800,05.03.2019 16:26,,60,Buffet
Salg,800,05.03.2019 16:26,,60,Buffet
Salg,500,05.03.2019 16:42,,60,Buffet
Salg,500,05.03.2019 17:20,,60,Buffet
Salg,400,05.03.2019 18:26,,60,Buffet
Salg,500,05.03.2019 19:26,,60,Buffet
Gebyr,-1080,06.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,19820,06.03.2019 00:59,Udbetaling til konto,1080,Overførsel
Salg,800,06.03.2019 09:48,,60,Buffet
Salg,800,06.03.2019 12:26,Mælkedreng,60,Buffet
Salg,150,06.03.2019 12:46,,60,Buffet
Salg,800,06.03.2019 13:13,,60,Buffet
Salg,900,06.03.2019 13:25,,60,Buffet
Salg,800,06.03.2019 13:54,,60,Buffet
Salg,1200,06.03.2019 14:25,,60,Buffet
Salg,1500,06.03.2019 15:17,,60,Buffet
Salg,200,06.03.2019 16:06,,60,Buffet
Salg,1500,06.03.2019 16:28,,60,Buffet
Salg,1500,06.03.2019 16:28,,60,Buffet
Salg,1350,06.03.2019 17:19,,60,Buffet
Salg,500,06.03.2019 18:10,,60,Buffet
Salg,800,06.03.2019 19:17,,60,Buffet
Gebyr,-840,07.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,11960,07.03.2019 00:59,Udbetaling til konto,840,Overførsel
Salg,1450,07.03.2019 15:17,,60,Buffet
Salg,800,07.03.2019 15:22,,60,Buffet
Salg,800,07.03.2019 15:43,,60,Buffet
Salg,1500,07.03.2019 17:15,,60,Buffet
Salg,800,07.03.2019 18:54,,60,Buffet
Salg,800,07.03.2019 19:52,,60,Buffet
Gebyr,-360,08.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,5790,08.03.2019 00:59,Udbetaling til konto,360,Overførsel
Salg,800,08.03.2019 09:15,,60,Buffet
Salg,1300,08.03.2019 11:36,,60,Buffet
Salg,1600,08.03.2019 12:34,Snittegalore,60,Buffet
Salg,2100,08.03.2019 13:28,,60,Buffet
Salg,1000,08.03.2019 13:33,,60,Buffet
Salg,600,08.03.2019 13:37,,60,Buffet
Salg,800,08.03.2019 13:38,,60,Buffet
Salg,1000,08.03.2019 18:41,,60,Buffet
Salg,1300,08.03.2019 23:15,,60,Buffet
Gebyr,-540,09.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,9960,09.03.2019 00:59,Udbetaling til konto,540,Overførsel
Salg,1600,09.03.2019 13:34,,60,Buffet
Gebyr,-60,10.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,1540,10.03.2019 00:59,Udbetaling til konto,60,Overførsel
Salg,1300,10.03.2019 15:21,,60,Buffet
Gebyr,-60,11.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,1240,11.03.2019 00:59,Udbetaling til konto,60,Overførsel
Salg,800,11.03.2019 12:37,Pingui,60,Buffet
Salg,800,11.03.2019 12:39,,60,Buffet
Salg,2000,11.03.2019 12:54,,60,Buffet
Salg,2100,11.03.2019 13:08,,60,Buffet
Salg,600,11.03.2019 14:07,,60,Buffet
Salg,400,11.03.2019 14:26,Frugt,60,Buffet
Salg,1000,11.03.2019 14:48,,60,Buffet
Salg,900,11.03.2019 14:54,,60,Buffet
Salg,300,11.03.2019 15:13,,60,Buffet
Salg,500,11.03.2019 15:54,,60,Buffet
Salg,1200,11.03.2019 15:57,,60,Buffet
Salg,100,11.03.2019 16:05,,60,Buffet
Salg,2300,11.03.2019 16:28,,60,Buffet
Salg,500,11.03.2019 16:56,,60,Buffet
Salg,800,11.03.2019 17:04,,60,Buffet
Salg,800,11.03.2019 17:04,,60,Buffet
Salg,800,11.03.2019 17:05,,60,Buffet
Salg,800,11.03.2019 17:20,,60,Buffet
Salg,800,11.03.2019 17:24,,60,Buffet
Salg,400,11.03.2019 17:26,,60,Buffet
Salg,500,11.03.2019 17:53,,60,Buffet
Salg,400,11.03.2019 18:02,,60,Buffet
Salg,800,11.03.2019 18:08,,60,Buffet
Salg,500,11.03.2019 18:14,,60,Buffet
Salg,1000,11.03.2019 18:50,,60,Buffet
Salg,800,11.03.2019 21:23,,60,Buffet
Salg,800,11.03.2019 21:42,,60,Buffet
Salg,800,11.03.2019 23:20,,60,Buffet
Gebyr,-1680,12.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,21820,12.03.2019 00:59,Udbetaling til konto,1680,Overførsel
Salg,600,12.03.2019 09:26,,60,Buffet
Salg,400,12.03.2019 10:11,,60,Buffet
Salg,1000,12.03.2019 10:22,Double trouble toast,60,Buffet
Salg,800,12.03.2019 11:40,,60,Buffet
Salg,1800,12.03.2019 12:26,,60,Buffet
Salg,3500,12.03.2019 13:31,,60,Buffet
Salg,500,12.03.2019 13:41,Toast,60,Buffet
Salg,400,12.03.2019 14:18,,60,Buffet
Salg,1900,12.03.2019 14:32,,60,Buffet
Salg,500,12.03.2019 14:50,,60,Buffet
Salg,1500,12.03.2019 15:08,,60,Buffet
Salg,1300,12.03.2019 15:20,,60,Buffet
Salg,800,12.03.2019 15:34,,60,Buffet
Salg,800,12.03.2019 15:56,,60,Buffet
Salg,500,12.03.2019 15:59,,60,Buffet
Salg,1000,12.03.2019 16:12,,60,Buffet
Salg,1500,12.03.2019 16:32,,60,Buffet
Salg,800,12.03.2019 16:53,,60,Buffet
Salg,1700,12.03.2019 17:04,,60,Buffet
Salg,1000,12.03.2019 17:21,,60,Buffet
Salg,1400,12.03.2019 20:01,,60,Buffet
Salg,1300,12.03.2019 20:32,alpro,60,Buffet
Salg,2800,12.03.2019 21:38,Øl x 2,60,Øl & Vand
Gebyr,-1380,13.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,26420,13.03.2019 00:59,Udbetaling til konto,1380,Overførsel
Salg,800,13.03.2019 03:28,,60,Buffet
Salg,800,13.03.2019 09:22,,60,Buffet
Salg,900,13.03.2019 10:24,,60,Buffet
Salg,600,13.03.2019 10:29,,60,Buffet
Salg,800,13.03.2019 11:01,,60,Buffet
Salg,1200,13.03.2019 11:32,,60,Buffet
Salg,1300,13.03.2019 11:34,,60,Buffet
Salg,1000,13.03.2019 12:26,,60,Buffet
Salg,300,13.03.2019 12:54,,60,Buffet
Salg,800,13.03.2019 12:56,Milk slice,60,Buffet
Salg,1000,13.03.2019 13:09,,60,Buffet
Salg,500,13.03.2019 13:10,,60,Buffet
Salg,500,13.03.2019 13:35,,60,Buffet
Salg,800,13.03.2019 13:40,,60,Buffet
Salg,1000,13.03.2019 14:09,,60,Buffet
Salg,1300,13.03.2019 14:24,,60,Buffet
Salg,1000,13.03.2019 15:26,,60,Buffet
Salg,1000,13.03.2019 16:02,,60,Buffet
Salg,800,13.03.2019 16:21,,60,Buffet
Salg,500,13.03.2019 16:38,,60,Buffet
Salg,500,13.03.2019 16:49,,60,Buffet
Salg,1300,13.03.2019 16:49,,60,Buffet
Salg,3400,13.03.2019 19:01,,60,Buffet
Salg,500,13.03.2019 19:19,,60,Buffet
Salg,1800,13.03.2019 21:55,Kawaii-soda,60,Øl & Vand
Gebyr,-1500,14.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,22900,14.03.2019 00:59,Udbetaling til konto,1500,Overførsel
Salg,1250,14.03.2019 10:14,,60,Buffet
Salg,1300,14.03.2019 10:50,,60,Buffet
Salg,800,14.03.2019 11:27,,60,Buffet
Salg,1500,14.03.2019 12:52,,60,Buffet
Salg,1300,14.03.2019 13:10,,60,Buffet
Salg,1500,14.03.2019 18:27,,60,Buffet
Salg,1500,14.03.2019 18:43,,60,Buffet
Salg,400,14.03.2019 21:57,,60,Buffet
Gebyr,-480,15.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,9070,15.03.2019 00:59,Udbetaling til konto,480,Overførsel
Salg,1500,15.03.2019 09:42,,60,Buffet
Salg,1300,15.03.2019 12:13,,60,Buffet
Salg,1500,15.03.2019 12:41,,60,Buffet
Salg,1300,15.03.2019 12:49,,60,Buffet
Salg,300,15.03.2019 13:03,2xtoast,60,Buffet
Salg,1000,15.03.2019 16:10,,60,Buffet
Salg,500,15.03.2019 17:12,,60,Buffet
Salg,500,15.03.2019 17:33,,60,Buffet
Salg,900,15.03.2019 18:07,,60,Buffet
Gebyr,-540,16.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,8260,16.03.2019 00:59,Udbetaling til konto,540,Overførsel
Salg,1200,16.03.2019 15:57,,60,Buffet
Gebyr,-60,17.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,1140,17.03.2019 00:59,Udbetaling til konto,60,Overførsel
Salg,800,18.03.2019 12:05,,60,Buffet
Salg,1200,18.03.2019 12:23,,60,Buffet
Salg,600,18.03.2019 12:41,,60,Buffet
Salg,1500,18.03.2019 13:22,,60,Buffet
Salg,900,18.03.2019 13:45,,60,Buffet
Salg,3200,18.03.2019 14:17,,60,Buffet
Salg,1300,18.03.2019 14:48,,60,Buffet
Salg,1300,18.03.2019 15:17,,60,Buffet
Salg,800,18.03.2019 15:59,,60,Buffet
Salg,800,18.03.2019 17:20,,60,Buffet
Salg,500,18.03.2019 18:00,,60,Buffet
Salg,800,18.03.2019 18:01,,60,Buffet
Salg,800,18.03.2019 23:08,,60,Buffet
Gebyr,-780,19.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,13720,19.03.2019 00:59,Udbetaling til konto,780,Overførsel
Salg,1600,19.03.2019 01:18,,60,Buffet
Salg,800,19.03.2019 01:20,,60,Buffet
Salg,400,19.03.2019 11:09,,60,Buffet
Salg,300,19.03.2019 13:19,,60,Buffet
Salg,1000,19.03.2019 14:38,,60,Buffet
Salg,800,19.03.2019 15:00,,60,Buffet
Salg,800,19.03.2019 15:00,,60,Buffet
Salg,1400,19.03.2019 15:02,,60,Buffet
Salg,800,19.03.2019 15:16,,60,Buffet
Salg,800,19.03.2019 15:17,,60,Buffet
Salg,1500,19.03.2019 15:20,,60,Buffet
Salg,800,19.03.2019 15:23,Snitsnit,60,Buffet
Salg,1500,19.03.2019 15:26,,60,Buffet
Salg,500,19.03.2019 15:59,,60,Buffet
Salg,1600,19.03.2019 16:26,,60,Buffet
Salg,1300,19.03.2019 16:27,,60,Buffet
Salg,1200,19.03.2019 16:33,,60,Buffet
Salg,500,19.03.2019 17:00,,60,Buffet
Salg,1300,19.03.2019 17:11,,60,Buffet
Salg,800,19.03.2019 17:14,,60,Buffet
Salg,2000,19.03.2019 17:15,,60,Buffet
Salg,1200,19.03.2019 17:19,,60,Buffet
Salg,1600,19.03.2019 18:12,,60,Buffet
Salg,3200,19.03.2019 18:29,,60,Buffet
Salg,500,19.03.2019 19:44,,60,Buffet
Salg,1000,19.03.2019 19:44,,60,Buffet
Salg,800,19.03.2019 22:10,,60,Buffet
Gebyr,-1620,20.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,28380,20.03.2019 00:59,Udbetaling til konto,1620,Overførsel
Salg,800,20.03.2019 11:59,,60,Buffet
Salg,800,20.03.2019 12:06,,60,Buffet
Salg,1000,20.03.2019 13:10,,60,Buffet
Salg,1300,20.03.2019 13:11,,60,Buffet
Salg,500,20.03.2019 13:27,,60,Buffet
Salg,600,20.03.2019 13:34,,60,Buffet
Salg,1000,20.03.2019 13:37,Frokost,60,Buffet
Salg,1200,20.03.2019 13:50,,60,Buffet
Salg,1500,20.03.2019 14:03,,60,Buffet
Salg,400,20.03.2019 14:49,,60,Buffet
Salg,400,20.03.2019 15:04,,60,Buffet
Salg,500,20.03.2019 15:34,,60,Buffet
Salg,400,20.03.2019 15:59,,60,Buffet
Salg,800,20.03.2019 16:33,,60,Buffet
Salg,800,20.03.2019 16:35,,60,Buffet
Salg,1500,20.03.2019 16:37,,60,Buffet
Salg,800,20.03.2019 17:19,Snit,60,Buffet
Salg,800,20.03.2019 17:30,,60,Buffet
Salg,800,20.03.2019 18:39,,60,Buffet
Gebyr,-1140,21.03.2019 00:59,Gebyr,,Gebyrer
Overførsel,14760,21.03.2019 00:59,Udbetaling til konto,1140,Overførsel
Salg,2000,22.03.2019 17:14,Øl,60,Jubilæumsfest
Salg,2000,22.03.2019 17:14,Øl,60,Jubilæumsfest
Salg,1400,22.03.2019 17:22,Øl,60,Jubilæumsfest
Salg,1400,22.03.2019 17:22,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:23,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:23,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:24,,60,Jubilæumsfest
Salg,1500,22.03.2019 17:25,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:25,,60,Jubilæumsfest
Salg,2500,22.03.2019 17:27,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:29,Øl,60,Jubilæumsfest
Salg,2000,22.03.2019 17:35,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:35,,60,Jubilæumsfest
Salg,2500,22.03.2019 17:36,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:41,,60,Jubilæumsfest
Salg,2500,22.03.2019 17:45,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:46,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:46,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:47,,60,Jubilæumsfest
Salg,4000,22.03.2019 17:47,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:50,,60,Jubilæumsfest
Salg,2500,22.03.2019 17:50,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:52,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:53,,60,Jubilæumsfest
Salg,1400,22.03.2019 17:54,,60,Jubilæumsfest
Salg,1500,22.03.2019 17:55,,60,Jubilæumsfest
Salg,2000,22.03.2019 17:55,Øl,60,Jubilæumsfest
Salg,2000,22.03.2019 17:56,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:02,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:03,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:03,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:05,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:05,,60,Jubilæumsfest
Salg,3600,22.03.2019 18:07,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:09,,60,Jubilæumsfest
Salg,5000,22.03.2019 18:11,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:13,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:18,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:19,Øl,60,Jubilæumsfest
Salg,4000,22.03.2019 18:19,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:19,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:23,,60,Jubilæumsfest
Salg,4000,22.03.2019 18:24,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:24,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:25,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:29,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:29,,60,Jubilæumsfest
Salg,2800,22.03.2019 18:30,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:30,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:31,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:32,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:33,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:33,,60,Jubilæumsfest
Salg,6600,22.03.2019 18:34,,60,Jubilæumsfest
Salg,2800,22.03.2019 18:34,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:34,,60,Jubilæumsfest
Salg,1000,22.03.2019 18:35,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:37,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:37,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:38,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:48,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:50,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:51,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:51,,60,Jubilæumsfest
Salg,1500,22.03.2019 18:51,,60,Jubilæumsfest
Salg,5000,22.03.2019 18:53,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:55,,60,Jubilæumsfest
Salg,2500,22.03.2019 18:55,,60,Jubilæumsfest
Salg,1000,22.03.2019 18:56,,60,Jubilæumsfest
Salg,1400,22.03.2019 18:57,,60,Jubilæumsfest
Salg,2000,22.03.2019 18:58,,60,Jubilæumsfest
Salg,4000,22.03.2019 18:58,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:00,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:01,,60,Jubilæumsfest
Salg,2000,22.03.2019 19:03,,60,Jubilæumsfest
Salg,4000,22.03.2019 19:04,,60,Jubilæumsfest
Salg,2000,22.03.2019 19:08,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:08,,60,Jubilæumsfest
Salg,2800,22.03.2019 19:08,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:15,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:17,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:18,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:18,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:18,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:19,,60,Jubilæumsfest
Salg,5000,22.03.2019 19:20,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:22,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:22,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:23,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:24,,60,Jubilæumsfest
Salg,3400,22.03.2019 19:28,,60,Jubilæumsfest
Salg,2000,22.03.2019 19:29,,60,Jubilæumsfest
Salg,5000,22.03.2019 19:29,,60,Jubilæumsfest
Salg,2000,22.03.2019 19:30,,60,Jubilæumsfest
Salg,6000,22.03.2019 19:37,,60,Jubilæumsfest
Salg,4200,22.03.2019 19:39,,60,Jubilæumsfest
Salg,1000,22.03.2019 19:40,,60,Jubilæumsfest
Salg,4200,22.03.2019 19:41,,60,Jubilæumsfest
Salg,2500,22.03.2019 19:41,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:46,,60,Jubilæumsfest
Salg,2800,22.03.2019 19:50,,60,Jubilæumsfest
Salg,1500,22.03.2019 19:50,,60,Jubilæumsfest
Salg,1000,22.03.2019 19:52,,60,Jubilæumsfest
Salg,3400,22.03.2019 19:54,,60,Jubilæumsfest
Salg,4000,22.03.2019 19:55,,60,Jubilæumsfest
Salg,9800,22.03.2019 19:58,,60,Jubilæumsfest
Salg,1400,22.03.2019 19:59,,60,Jubilæumsfest
Salg,2000,22.03.2019 20:00,,60,Jubilæumsfest
